bigram,,Count
",",and,7193
’,s,5804
.,“,5700
of,the,4620
",",”,3126
&,#,3115
two,hundred,3095
#,two,3074
in,the,2941
to,the,2734
.,the,2616
hundred,thirty,2433
",",the,2141
",",but,1961
and,the,1606
three,;,1563
?,”,1543
”,“,1526
thirty,three,1520
on,the,1500
’,t,1443
.,he,1434
!,”,1424
",",he,1395
”,he,1392
at,the,1367
”,said,1274
prince,andrei,1225
he,was,1147
i,’,1050
he,had,1046
",",who,1031
did,not,1027
it,was,1007
from,the,1004
",",as,995
one,thousand,993
him,.,982
him,",",978
and,",",973
the,same,930
with,the,923
with,a,923
",",in,899
to,him,895
by,the,881
",",i,879
",",which,864
in,a,826
eight,hundred,817
thousand,eight,809
for,the,809
",",with,807
return,to,790
that,the,764
",",that,762
",",“,761
to,text,761
text,.,761
of,his,758
“,i,751
the,french,734
’,ll,734
that,he,724
he,said,723
.,and,716
.,but,710
it,’,693
had,been,680
in,his,666
to,be,653
all,the,635
.,in,627
of,a,620
two,;,615
”,the,604
princess,marya,598
”,she,579
as,if,573
.,she,570
",",a,561
don,’,556
it,",",554
.,i,547
",",it,538
.,return,535
four,;,533
.,it,532
thirty,two,522
to,her,521
with,his,520
said,",",520
well,",",511
",",to,506
into,the,502
the,sovereign,492
to,his,491
hundred,twenty,477
could,not,473
;,but,462
",",was,460
in,one,460
there,was,459
it,.,458
",",not,451
the,old,447
:,“,447
),",",439
’,m,439
and,he,437
you,’,436
.,pierre,436
the,first,435
yes,",",429
for,a,419
that,",",418
’,re,415
and,that,400
he,’,398
",",she,394
’,ve,393
her,.,388
was,a,387
you,",",384
was,the,375
about,the,364
pierre,",",364
the,count,364
said,the,363
seven,hundred,363
thousand,seven,363
her,",",360
”,and,354
“,what,351
and,a,350
on,his,346
",",on,346
she,was,345
began,to,343
.,prince,343
out,of,342
up,to,342
the,countess,342
.,a,341
as,he,341
twenty,four,340
",",when,339
",",his,338
",",so,336
one,of,334
it,is,332
was,not,332
",",or,330
and,his,329
me,",",329
the,whole,324
“,and,322
she,said,322
",",you,321
who,had,320
",",my,319
which,he,316
“,well,315
the,other,314
.,they,313
who,was,312
no,",",310
the,russian,304
of,her,304
looked,at,304
as,a,303
and,i,303
said,to,302
(,one,301
with,her,301
l,’,301
his,eyes,295
that,it,294
them,.,293
“,yes,293
she,had,292
they,were,291
his,head,289
“,you,287
them,",",284
him,to,283
and,in,281
natasha,",",281
the,room,281
in,her,279
",",then,279
said,.,278
would,be,278
in,which,277
ah,",",277
the,princess,276
the,door,276
he,would,274
wanted,to,270
“,but,269
went,on,269
.,natasha,269
went,to,267
",",now,265
the,army,264
to,see,264
that,’,263
",",there,262
seemed,to,262
but,the,261
",",because,259
",",having,257
",",had,255
looking,at,254
the,battle,253
as,the,253
when,he,252
“,ah,251
that,she,251
had,not,250
.,when,249
.,this,248
;,l,248
we,’,248
he,did,247
pierre,.,247
.,on,246
not,to,245
",",pierre,245
",",prince,243
prince,vassily,243
for,him,243
",",without,242
had,to,241
to,do,241
face,",",241
now,",",240
room,.,239
him,and,239
and,was,236
",",they,235
the,most,234
the,emperor,233
up,",",232
“,it,230
time,",",229
himself,",",229
",",where,228
over,the,228
andrei,",",227
each,other,227
through,the,226
moscow,",",226
at,once,226
“,no,226
not,only,225
of,this,225
to,go,224
a,man,223
was,in,221
man,",",220
",",looking,220
no,one,220
what,he,219
“,the,218
to,say,218
at,him,218
eyes,",",218
he,could,217
that,i,216
l,&,216
his,face,216
there,’,216
",",if,215
",",for,215
i,don,215
with,him,215
after,the,215
”,pierre,214
is,the,211
of,them,211
of,that,211
there,were,211
",",at,210
to,a,210
at,her,210
the,enemy,210
.,his,209
.,at,209
”,asked,208
of,all,207
the,prince,207
in,moscow,206
room,",",206
.,as,204
would,have,204
came,to,204
the,general,201
",",what,201
h,&,199
do,you,199
they,’,199
if,he,198
that,is,197
but,he,197
the,rostovs,197
.,there,196
a,long,196
in,chief,195
;,ne,194
.,you,194
of,it,194
to,me,193
turned,to,193
under,the,192
",",of,192
up,and,192
”,prince,191
want,to,191
rostov,",",191
the,people,190
hundred,forty,190
",",though,189
on,a,188
such,a,188
commander,in,188
hundred,fifty,187
pierre,’,187
life,",",186
thirty,four,186
",",we,186
;,and,185
old,man,185
when,the,184
”,thought,184
like,a,183
which,the,183
and,with,183
have,been,181
all,that,180
and,went,180
.,to,179
",",from,178
army,",",177
order,to,177
is,",",176
could,be,176
…,”,176
the,soldiers,176
you,know,175
it,seemed,175
i,have,173
“,he,173
his,own,172
",",all,172
in,this,172
",",like,172
),:,172
she,’,172
can,’,172
that,was,171
that,they,171
would,not,171
.,if,171
but,i,170
the,officer,170
go,to,169
is,it,169
if,you,169
for,her,169
to,himself,169
out,",",168
’,d,168
during,the,167
himself,.,167
anna,pavlovna,167
the,young,167
won,’,167
the,one,166
what,was,166
but,",",166
and,at,165
he,went,164
people,",",164
his,wife,164
eyes,.,164
down,the,164
then,",",163
hand,",",163
not,be,162
there,",",162
on,",",162
for,his,161
what,is,161
.,all,160
),.,160
of,life,159
and,so,159
going,to,158
as,it,158
’,est,158
;,the,157
in,order,157
he,thought,157
are,you,157
his,hand,157
can,not,156
s,a,156
",",her,155
d,’,155
will,be,155
“,that,155
the,next,155
to,pierre,155
i,can,155
at,his,154
and,to,154
out,to,154
drawing,room,154
no,longer,154
in,front,154
.,rostov,154
of,which,153
s,face,153
expression,of,153
",",went,153
that,had,153
and,then,152
i,am,152
the,house,151
french,",",151
to,take,151
",",your,151
”,natasha,151
they,had,150
still,more,150
the,right,150
which,was,150
of,him,150
at,a,149
:,the,149
long,time,149
",",by,148
i,know,148
the,commander,147
;,re,147
soon,as,147
what,’,147
",",after,146
.,that,146
said,that,146
anna,mikhailovna,146
come,to,145
as,soon,145
napoleon,’,145
from,his,144
all,",",144
.,one,144
and,she,144
the,more,144
to,you,144
",",how,144
so,as,143
",",smiling,143
and,began,142
and,therefore,142
here,",",142
my,dear,142
natasha,.,142
;,he,141
in,that,141
not,know,141
look,at,141
up,the,141
it,to,140
battle,of,140
",",is,140
",",one,140
that,there,140
didn,’,140
who,",",139
of,one,139
know,",",139
.,after,139
that,this,139
s,not,139
;,e,138
count,",",138
is,a,137
the,little,137
the,table,137
was,no,137
the,front,137
moscow,.,136
to,make,136
",",this,136
the,last,136
more,than,136
just,as,136
.,having,136
time,.,135
.,what,135
hundred,ninety,135
was,to,135
to,get,135
the,road,135
the,troops,135
him,that,134
natasha,’,134
.,princess,134
it,would,133
so,much,133
again,",",133
andrei,.,133
hundred,twelve,132
there,is,132
him,in,132
to,have,132
the,left,132
and,there,131
and,it,131
",",were,131
old,prince,131
before,the,131
",",count,131
pierre,was,131
at,that,131
“,why,131
and,not,131
all,his,130
he,is,130
and,had,130
s,the,130
the,crowd,130
a,few,129
those,who,129
him,with,129
front,of,129
his,father,128
one,",",128
",",while,128
that,his,128
and,what,128
",",came,128
said,pierre,128
he,felt,128
who,were,128
his,horse,128
“,how,127
c,’,127
and,you,127
the,way,126
and,all,126
is,not,126
behind,the,126
felt,that,126
which,",",125
time,to,125
sort,of,125
”,(,125
same,time,124
as,to,124
said,in,124
way,",",123
trying,to,123
it,?,123
face,.,123
“,if,123
the,middle,123
with,an,123
day,",",123
mlle,bourienne,123
by,a,122
by,his,122
the,two,122
away,from,122
among,the,122
princess,",",122
not,understand,122
up,.,122
feeling,of,122
“,so,122
.,nikolai,122
had,already,121
do,not,121
.,from,121
on,.,121
but,it,121
one,;,121
the,drawing,121
napoleon,",",121
marya,dmitrievna,121
the,russians,121
this,was,120
so,that,120
to,them,119
qu,’,119
he,knew,119
because,he,119
denisov,",",119
of,war,118
.,for,118
it,had,118
her,face,118
other,",",118
her,eyes,117
a,moment,117
again,.,117
",",whom,116
i,was,116
tried,to,116
in,their,116
she,did,116
s,all,116
“,we,116
was,so,116
.,kutuzov,116
russian,army,116
",",natasha,115
in,petersburg,115
away,",",115
but,in,115
a,little,115
got,up,115
the,day,115
back,to,114
over,to,114
you,.,114
her,father,114
head,",",114
the,conversation,114
and,more,114
the,bridge,114
the,doctor,114
whom,he,113
a,new,113
he,asked,113
general,",",113
",",yes,113
marya,",",113
.,napoleon,113
of,moscow,112
officer,",",112
and,of,112
where,the,112
",",no,112
not,a,112
the,fact,112
t,know,112
to,look,112
voice,",",112
went,up,111
sonya,",",111
of,what,110
and,again,110
the,time,110
had,a,110
andrei,’,110
n,’,110
and,her,110
had,come,110
back,",",110
hundred,sixty,109
",",too,109
so,",",109
to,speak,108
fact,that,108
d,&,108
around,the,108
man,’,108
middle,of,108
right,",",108
used,to,107
unable,to,107
if,it,107
of,their,107
her,and,107
",",turning,107
of,those,107
smile,",",107
down,",",107
if,i,107
towards,the,107
part,in,106
six,;,106
man,who,106
movement,of,106
to,leave,105
me,to,105
to,give,105
countess,",",105
kutuzov,",",104
life,.,104
;,s,104
said,prince,104
and,said,104
to,tell,104
against,the,104
he,saw,103
knew,that,103
me,.,103
go,",",103
the,officers,103
where,he,102
of,an,102
the,words,102
his,son,102
prince,",",102
people,who,102
!,…,102
ll,be,102
that,day,102
thought,.,102
to,prince,102
them,to,102
pierre,had,102
in,",",102
your,excellency,102
which,had,102
first,time,101
the,contrary,101
?,what,101
as,they,101
men,",",101
her,husband,101
came,out,101
but,that,100
house,",",100
father,",",100
",",looked,100
part,of,100
they,all,99
you,?,99
with,you,99
waiting,for,99
god,",",99
left,the,99
young,man,99
impossible,to,99
when,they,99
rostov,.,98
to,moscow,98
end,of,98
into,a,98
tell,you,98
was,going,98
",",only,98
hand,.,98
.,we,97
at,all,97
that,you,97
",",despite,97
us,",",97
away,.,97
she,could,97
the,adjutant,97
soldiers,",",97
if,the,96
what,a,96
the,question,96
he,wanted,96
father,’,96
which,she,96
one,.,96
with,that,96
about,to,96
t,be,96
",",just,96
.,only,96
next,day,96
",",did,96
the,village,96
the,world,95
before,",",95
nikolai,",",95
the,war,95
on,her,95
and,for,95
and,did,95
sovereign,",",95
you,are,95
that,.,95
the,end,94
nothing,",",94
as,she,94
thought,",",94
contrary,",",94
from,her,94
war,",",94
it,all,94
side,of,94
french,.,94
m,&,93
of,people,93
sat,down,93
he,looked,93
said,with,93
out,.,93
”,cried,93
listening,to,93
army,.,93
hundred,five,92
",",princess,92
was,sitting,92
