Word,Count
",",56176
the,39857
.,27779
and,22061
to,17971
of,16258
’,10976
in,10854
a,10540
he,9756
“,8943
”,8926
that,8405
his,8130
was,8089
with,6277
it,5990
s,5965
;,5077
him,4830
not,4743
her,4729
had,4577
two,4535
hundred,4504
i,4499
on,4436
at,4299
for,4282
as,3928
you,3783
but,3745
said,3546
one,3311
she,3249
&,3115
#,3115
?,3032
from,3014
!,2917
all,2864
is,2807
thirty,2512
by,2453
this,2345
be,2312
what,2298
which,2297
pierre,2253
prince,2238
who,2230
were,2182
they,2098
three,1958
there,1894
so,1822
up,1801
:,1698
no,1567
if,1542
an,1540
t,1539
out,1505
them,1503
only,1460
did,1447
about,1441
have,1413
thousand,1381
would,1361
me,1353
now,1313
natasha,1312
been,1307
or,1277
when,1273
andrei,1268
(,1249
my,1249
),1248
could,1242
their,1240
man,1162
himself,1154
time,1144
more,1121
into,1117
went,1112
french,1089
princess,1081
same,1039
we,996
eight,993
are,990
how,984
came,972
over,951
people,943
will,923
face,917
then,912
do,910
old,857
can,846
eyes,845
marya,844
rostov,842
after,833
go,826
return,824
count,820
other,812
moscow,803
napoleon,797
see,797
know,785
your,783
like,776
some,768
text,767
room,760
four,755
de,755
something,753
thought,750
down,748
ll,735
before,726
began,707
asked,707
army,703
well,700
first,699
life,696
very,687
still,678
russian,672
general,670
without,659
left,654
come,646
again,643
because,642
back,641
these,640
twenty,639
where,631
kutuzov,629
looked,618
head,617
everything,605
nikolai,601
say,600
little,597
m,590
just,577
way,573
don,572
re,569
those,562
men,561
here,560
day,559
seven,558
nothing,556
has,554
made,548
our,538
such,535
having,534
its,532
than,532
away,530
sovereign,530
l,529
long,528
whole,523
hand,521
countess,518
felt,516
love,513
good,510
why,508
even,507
around,507
through,499
looking,495
off,495
suddenly,495
seemed,492
took,489
voice,480
right,473
never,472
under,471
saw,470
turned,470
yes,468
words,464
denisov,460
young,457
battle,454
sonya,453
once,447
officer,445
going,441
d,435
war,434
heard,434
tell,433
moment,430
order,430
us,428
told,428
ve,428
any,426
being,419
most,418
already,417
each,413
father,412
troops,409
also,405
god,404
soldiers,404
look,403
take,402
knew,400
part,398
house,396
always,393
new,391
stood,390
understand,386
much,381
place,381
commander,381
own,380
another,380
feeling,375
let,371
behind,367
smile,365
whom,364
must,360
got,359
door,358
ah,352
dolokhov,349
son,345
get,345
sat,342
ne,339
though,337
la,336
anna,335
wanted,334
think,334
vous,333
taken,331
herself,331
le,327
emperor,324
want,318
give,317
horse,317
five,312
et,312
stopped,311
while,309
last,308
boris,308
put,307
petersburg,305
everyone,305
front,305
talk,301
during,298
six,298
expression,297
dear,297
towards,296
seen,294
thing,291
wife,290
make,289
petya,288
anything,287
should,285
great,283
saying,283
every,281
movement,280
enemy,280
between,277
ran,275
things,274
que,274
became,273
leave,269
too,268
chief,267
hands,267
several,266
rode,266
against,264
est,264
gave,264
letter,264
both,263
sitting,262
mother,261
brought,261
alone,261
vassily,261
cried,261
side,260
quickly,257
russia,254
since,254
sent,252
next,251
many,250
among,250
je,249
power,245
position,245
conversation,245
found,244
soon,243
question,242
road,242
nine,241
regiment,241
coming,240
adjutant,239
soldier,239
night,237
anatole,237
taking,237
am,236
especially,234
along,234
forty,233
alexander,233
horses,231
orders,231
fire,230
officers,229
called,228
others,228
done,227
les,227
impossible,226
fifty,224
word,223
fell,222
wounded,222
table,221
arm,217
crowd,217
friend,216
replied,214
evening,213
won,213
standing,213
later,212
smiling,212
themselves,212
yet,211
understood,211
morning,210
ask,210
soul,210
talking,210
lay,208
set,206
death,205
past,204
rostovs,202
woman,201
known,200
speak,200
